date,date_key,year,quarter,month,day,weekday,is_holiday,is_working
2011-01-01,20110101,2011,1,1,1,6,0,0
2011-01-02,20110102,2011,1,1,2,7,0,0
2011-01-03,20110103,2011,1,1,3,1,0,1
2011-01-04,20110104,2011,1,1,4,2,0,1
2011-01-05,20110105,2011,1,1,5,3,0,1
2011-01-06,20110106,2011,1,1,6,4,0,1
2011-01-07,20110107,2011,1,1,7,5,0,1
2011-01-08,20110108,2011,1,1,8,6,0,0
2011-01-09,20110109,2011,1,1,9,7,0,0
2011-01-10,20110110,2011,1,1,10,1,0,1
2011-01-11,20110111,2011,1,1,11,2,0,1
2011-01-12,20110112,2011,1,1,12,3,0,1
2011-01-13,20110113,2011,1,1,13,4,0,1
2011-01-14,20110114,2011,1,1,14,5,0,1
2011-01-15,20110115,2011,1,1,15,6,0,0
2011-01-16,20110116,2011,1,1,16,7,0,0
2011-01-17,20110117,2011,1,1,17,1,1,0
2011-01-18,20110118,2011,1,1,18,2,0,1
2011-01-19,20110119,2011,1,1,19,3,0,1
2011-01-20,20110120,2011,1,1,20,4,0,1
2011-01-21,20110121,2011,1,1,21,5,0,1
2011-01-22,20110122,2011,1,1,22,6,0,0
2011-01-23,20110123,2011,1,1,23,7,0,0
2011-01-24,20110124,2011,1,1,24,1,0,1
2011-01-25,20110125,2011,1,1,25,2,0,1
2011-01-26,20110126,2011,1,1,26,3,0,1
2011-01-27,20110127,2011,1,1,27,4,0,1
2011-01-28,20110128,2011,1,1,28,5,0,1
2011-01-29,20110129,2011,1,1,29,6,0,0
2011-01-30,20110130,2011,1,1,30,7,0,0
2011-01-31,20110131,2011,1,1,31,1,0,1
2011-02-01,20110201,2011,1,2,1,2,0,1
2011-02-02,20110202,2011,1,2,2,3,0,1
2011-02-03,20110203,2011,1,2,3,4,0,1
2011-02-04,20110204,2011,1,2,4,5,0,1
2011-02-05,20110205,2011,1,2,5,6,0,0
2011-02-06,20110206,2011,1,2,6,7,0,0
2011-02-07,20110207,2011,1,2,7,1,0,1
2011-02-08,20110208,2011,1,2,8,2,0,1
2011-02-09,20110209,2011,1,2,9,3,0,1
2011-02-10,20110210,2011,1,2,10,4,0,1
2011-02-11,20110211,2011,1,2,11,5,0,1
2011-02-12,20110212,2011,1,2,12,6,0,0
2011-02-13,20110213,2011,1,2,13,7,0,0
2011-02-14,20110214,2011,1,2,14,1,0,1
2011-02-15,20110215,2011,1,2,15,2,0,1
2011-02-16,20110216,2011,1,2,16,3,0,1
2011-02-17,20110217,2011,1,2,17,4,0,1
2011-02-18,20110218,2011,1,2,18,5,0,1
2011-02-19,20110219,2011,1,2,19,6,0,0
2011-02-20,20110220,2011,1,2,20,7,0,0
2011-02-21,20110221,2011,1,2,21,1,1,0
2011-02-22,20110222,2011,1,2,22,2,0,1
2011-02-23,20110223,2011,1,2,23,3,0,1
2011-02-24,20110224,2011,1,2,24,4,0,1
2011-02-25,20110225,2011,1,2,25,5,0,1
2011-02-26,20110226,2011,1,2,26,6,0,0
2011-02-27,20110227,2011,1,2,27,7,0,0
2011-02-28,20110228,2011,1,2,28,1,0,1
2011-03-01,20110301,2011,1,3,1,2,0,1
2011-03-02,20110302,2011,1,3,2,3,0,1
2011-03-03,20110303,2011,1,3,3,4,0,1
2011-03-04,20110304,2011,1,3,4,5,0,1
2011-03-05,20110305,2011,1,3,5,6,0,0
2011-03-06,20110306,2011,1,3,6,7,0,0
2011-03-07,20110307,2011,1,3,7,1,0,1
2011-03-08,20110308,2011,1,3,8,2,0,1
2011-03-09,20110309,2011,1,3,9,3,0,1
2011-03-10,20110310,2011,1,3,10,4,0,1
2011-03-11,20110311,2011,1,3,11,5,0,1
2011-03-12,20110312,2011,1,3,12,6,0,0
2011-03-13,20110313,2011,1,3,13,7,0,0
2011-03-14,20110314,2011,1,3,14,1,0,1
2011-03-15,20110315,2011,1,3,15,2,0,1
2011-03-16,20110316,2011,1,3,16,3,0,1
2011-03-17,20110317,2011,1,3,17,4,0,1
2011-03-18,20110318,2011,1,3,18,5,0,1
2011-03-19,20110319,2011,1,3,19,6,0,0
2011-03-20,20110320,2011,1,3,20,7,0,0
2011-03-21,20110321,2011,1,3,21,1,0,1
2011-03-22,20110322,2011,1,3,22,2,0,1
2011-03-23,20110323,2011,1,3,23,3,0,1
2011-03-24,20110324,2011,1,3,24,4,0,1
2011-03-25,20110325,2011,1,3,25,5,0,1
2011-03-26,20110326,2011,1,3,26,6,0,0
2011-03-27,20110327,2011,1,3,27,7,0,0
2011-03-28,20110328,2011,1,3,28,1,0,1
2011-03-29,20110329,2011,1,3,29,2,0,1
2011-03-30,20110330,2011,1,3,30,3,0,1
2011-03-31,20110331,2011,1,3,31,4,0,1
2011-04-01,20110401,2011,2,4,1,5,0,1
2011-04-02,20110402,2011,2,4,2,6,0,0
2011-04-03,20110403,2011,2,4,3,7,0,0
2011-04-04,20110404,2011,2,4,4,1,0,1
2011-04-05,20110405,2011,2,4,5,2,0,1
2011-04-06,20110406,2011,2,4,6,3,0,1
2011-04-07,20110407,2011,2,4,7,4,0,1
2011-04-08,20110408,2011,2,4,8,5,0,1
2011-04-09,20110409,2011,2,4,9,6,0,0
2011-04-10,20110410,2011,2,4,10,7,0,0
2011-04-11,20110411,2011,2,4,11,1,0,1
2011-04-12,20110412,2011,2,4,12,2,0,1
2011-04-13,20110413,2011,2,4,13,3,0,1
2011-04-14,20110414,2011,2,4,14,4,0,1
2011-04-15,20110415,2011,2,4,15,5,1,0
2011-04-16,20110416,2011,2,4,16,6,0,0
2011-04-17,20110417,2011,2,4,17,7,0,0
2011-04-18,20110418,2011,2,4,18,1,0,1
2011-04-19,20110419,2011,2,4,19,2,0,1
2011-04-20,20110420,2011,2,4,20,3,0,1
2011-04-21,20110421,2011,2,4,21,4,0,1
2011-04-22,20110422,2011,2,4,22,5,0,1
2011-04-23,20110423,2011,2,4,23,6,0,0
2011-04-24,20110424,2011,2,4,24,7,0,0
2011-04-25,20110425,2011,2,4,25,1,0,1
2011-04-26,20110426,2011,2,4,26,2,0,1
2011-04-27,20110427,2011,2,4,27,3,0,1
2011-04-28,20110428,2011,2,4,28,4,0,1
2011-04-29,20110429,2011,2,4,29,5,0,1
2011-04-30,20110430,2011,2,4,30,6,0,0
2011-05-01,20110501,2011,2,5,1,7,0,0
2011-05-02,20110502,2011,2,5,2,1,0,1
2011-05-03,20110503,2011,2,5,3,2,0,1
2011-05-04,20110504,2011,2,5,4,3,0,1
2011-05-05,20110505,2011,2,5,5,4,0,1
2011-05-06,20110506,2011,2,5,6,5,0,1
2011-05-07,20110507,2011,2,5,7,6,0,0
2011-05-08,20110508,2011,2,5,8,7,0,0
2011-05-09,20110509,2011,2,5,9,1,0,1
2011-05-10,20110510,2011,2,5,10,2,0,1
2011-05-11,20110511,2011,2,5,11,3,0,1
2011-05-12,20110512,2011,2,5,12,4,0,1
2011-05-13,20110513,2011,2,5,13,5,0,1
2011-05-14,20110514,2011,2,5,14,6,0,0
2011-05-15,20110515,2011,2,5,15,7,0,0
2011-05-16,20110516,2011,2,5,16,1,0,1
2011-05-17,20110517,2011,2,5,17,2,0,1
2011-05-18,20110518,2011,2,5,18,3,0,1
2011-05-19,20110519,2011,2,5,19,4,0,1
2011-05-20,20110520,2011,2,5,20,5,0,1
2011-05-21,20110521,2011,2,5,21,6,0,0
2011-05-22,20110522,2011,2,5,22,7,0,0
2011-05-23,20110523,2011,2,5,23,1,0,1
2011-05-24,20110524,2011,2,5,24,2,0,1
2011-05-25,20110525,2011,2,5,25,3,0,1
2011-05-26,20110526,2011,2,5,26,4,0,1
2011-05-27,20110527,2011,2,5,27,5,0,1
2011-05-28,20110528,2011,2,5,28,6,0,0
2011-05-29,20110529,2011,2,5,29,7,0,0
2011-05-30,20110530,2011,2,5,30,1,1,0
2011-05-31,20110531,2011,2,5,31,2,0,1
2011-06-01,20110601,2011,2,6,1,3,0,1
2011-06-02,20110602,2011,2,6,2,4,0,1
2011-06-03,20110603,2011,2,6,3,5,0,1
2011-06-04,20110604,2011,2,6,4,6,0,0
2011-06-05,20110605,2011,2,6,5,7,0,0
2011-06-06,20110606,2011,2,6,6,1,0,1
2011-06-07,20110607,2011,2,6,7,2,0,1
2011-06-08,20110608,2011,2,6,8,3,0,1
2011-06-09,20110609,2011,2,6,9,4,0,1
2011-06-10,20110610,2011,2,6,10,5,0,1
2011-06-11,20110611,2011,2,6,11,6,0,0
2011-06-12,20110612,2011,2,6,12,7,0,0
2011-06-13,20110613,2011,2,6,13,1,0,1
2011-06-14,20110614,2011,2,6,14,2,0,1
2011-06-15,20110615,2011,2,6,15,3,0,1
2011-06-16,20110616,2011,2,6,16,4,0,1
2011-06-17,20110617,2011,2,6,17,5,0,1
2011-06-18,20110618,2011,2,6,18,6,0,0
2011-06-19,20110619,2011,2,6,19,7,0,0
2011-06-20,20110620,2011,2,6,20,1,0,1
2011-06-21,20110621,2011,2,6,21,2,0,1
2011-06-22,20110622,2011,2,6,22,3,0,1
2011-06-23,20110623,2011,2,6,23,4,0,1
2011-06-24,20110624,2011,2,6,24,5,0,1
2011-06-25,20110625,2011,2,6,25,6,0,0
2011-06-26,20110626,2011,2,6,26,7,0,0
2011-06-27,20110627,2011,2,6,27,1,0,1
2011-06-28,20110628,2011,2,6,28,2,0,1
2011-06-29,20110629,2011,2,6,29,3,0,1
2011-06-30,20110630,2011,2,6,30,4,0,1
2011-07-01,20110701,2011,3,7,1,5,0,1
2011-07-02,20110702,2011,3,7,2,6,0,0
2011-07-03,20110703,2011,3,7,3,7,0,0
2011-07-04,20110704,2011,3,7,4,1,1,0
2011-07-05,20110705,2011,3,7,5,2,0,1
2011-07-06,20110706,2011,3,7,6,3,0,1
2011-07-07,20110707,2011,3,7,7,4,0,1
2011-07-08,20110708,2011,3,7,8,5,0,1
2011-07-09,20110709,2011,3,7,9,6,0,0
2011-07-10,20110710,2011,3,7,10,7,0,0
2011-07-11,20110711,2011,3,7,11,1,0,1
2011-07-12,20110712,2011,3,7,12,2,0,1
2011-07-13,20110713,2011,3,7,13,3,0,1
2011-07-14,20110714,2011,3,7,14,4,0,1
2011-07-15,20110715,2011,3,7,15,5,0,1
2011-07-16,20110716,2011,3,7,16,6,0,0
2011-07-17,20110717,2011,3,7,17,7,0,0
2011-07-18,20110718,2011,3,7,18,1,0,1
2011-07-19,20110719,2011,3,7,19,2,0,1
2011-07-20,20110720,2011,3,7,20,3,0,1
2011-07-21,20110721,2011,3,7,21,4,0,1
2011-07-22,20110722,2011,3,7,22,5,0,1
2011-07-23,20110723,2011,3,7,23,6,0,0
2011-07-24,20110724,2011,3,7,24,7,0,0
2011-07-25,20110725,2011,3,7,25,1,0,1
2011-07-26,20110726,2011,3,7,26,2,0,1
2011-07-27,20110727,2011,3,7,27,3,0,1
2011-07-28,20110728,2011,3,7,28,4,0,1
2011-07-29,20110729,2011,3,7,29,5,0,1
2011-07-30,20110730,2011,3,7,30,6,0,0
2011-07-31,20110731,2011,3,7,31,7,0,0
2011-08-01,20110801,2011,3,8,1,1,0,1
2011-08-02,20110802,2011,3,8,2,2,0,1
2011-08-03,20110803,2011,3,8,3,3,0,1
2011-08-04,20110804,2011,3,8,4,4,0,1
2011-08-05,20110805,2011,3,8,5,5,0,1
2011-08-06,20110806,2011,3,8,6,6,0,0
2011-08-07,20110807,2011,3,8,7,7,0,0
2011-08-08,20110808,2011,3,8,8,1,0,1
2011-08-09,20110809,2011,3,8,9,2,0,1
2011-08-10,20110810,2011,3,8,10,3,0,1
2011-08-11,20110811,2011,3,8,11,4,0,1
2011-08-12,20110812,2011,3,8,12,5,0,1
2011-08-13,20110813,2011,3,8,13,6,0,0
2011-08-14,20110814,2011,3,8,14,7,0,0
2011-08-15,20110815,2011,3,8,15,1,0,1
2011-08-16,20110816,2011,3,8,16,2,0,1
2011-08-17,20110817,2011,3,8,17,3,0,1
2011-08-18,20110818,2011,3,8,18,4,0,1
2011-08-19,20110819,2011,3,8,19,5,0,1
2011-08-20,20110820,2011,3,8,20,6,0,0
2011-08-21,20110821,2011,3,8,21,7,0,0
2011-08-22,20110822,2011,3,8,22,1,0,1
2011-08-23,20110823,2011,3,8,23,2,0,1
2011-08-24,20110824,2011,3,8,24,3,0,1
2011-08-25,20110825,2011,3,8,25,4,0,1
2011-08-26,20110826,2011,3,8,26,5,0,1
2011-08-27,20110827,2011,3,8,27,6,0,0
2011-08-28,20110828,2011,3,8,28,7,0,0
2011-08-29,20110829,2011,3,8,29,1,0,1
2011-08-30,20110830,2011,3,8,30,2,0,1
2011-08-31,20110831,2011,3,8,31,3,0,1
2011-09-01,20110901,2011,3,9,1,4,0,1
2011-09-02,20110902,2011,3,9,2,5,0,1
2011-09-03,20110903,2011,3,9,3,6,0,0
2011-09-04,20110904,2011,3,9,4,7,0,0
2011-09-05,20110905,2011,3,9,5,1,1,0
2011-09-06,20110906,2011,3,9,6,2,0,1
2011-09-07,20110907,2011,3,9,7,3,0,1
2011-09-08,20110908,2011,3,9,8,4,0,1
2011-09-09,20110909,2011,3,9,9,5,0,1
2011-09-10,20110910,2011,3,9,10,6,0,0
2011-09-11,20110911,2011,3,9,11,7,0,0
2011-09-12,20110912,2011,3,9,12,1,0,1
2011-09-13,20110913,2011,3,9,13,2,0,1
2011-09-14,20110914,2011,3,9,14,3,0,1
2011-09-15,20110915,2011,3,9,15,4,0,1
2011-09-16,20110916,2011,3,9,16,5,0,1
2011-09-17,20110917,2011,3,9,17,6,0,0
2011-09-18,20110918,2011,3,9,18,7,0,0
2011-09-19,20110919,2011,3,9,19,1,0,1
2011-09-20,20110920,2011,3,9,20,2,0,1
2011-09-21,20110921,2011,3,9,21,3,0,1
2011-09-22,20110922,2011,3,9,22,4,0,1
2011-09-23,20110923,2011,3,9,23,5,0,1
2011-09-24,20110924,2011,3,9,24,6,0,0
2011-09-25,20110925,2011,3,9,25,7,0,0
2011-09-26,20110926,2011,3,9,26,1,0,1
2011-09-27,20110927,2011,3,9,27,2,0,1
2011-09-28,20110928,2011,3,9,28,3,0,1
2011-09-29,20110929,2011,3,9,29,4,0,1
2011-09-30,20110930,2011,3,9,30,5,0,1
2011-10-01,20111001,2011,4,10,1,6,0,0
2011-10-02,20111002,2011,4,10,2,7,0,0
2011-10-03,20111003,2011,4,10,3,1,0,1
2011-10-04,20111004,2011,4,10,4,2,0,1
2011-10-05,20111005,2011,4,10,5,3,0,1
2011-10-06,20111006,2011,4,10,6,4,0,1
2011-10-07,20111007,2011,4,10,7,5,0,1
2011-10-08,20111008,2011,4,10,8,6,0,0
2011-10-09,20111009,2011,4,10,9,7,0,0
2011-10-10,20111010,2011,4,10,10,1,1,0
2011-10-11,20111011,2011,4,10,11,2,0,1
2011-10-12,20111012,2011,4,10,12,3,0,1
2011-10-13,20111013,2011,4,10,13,4,0,1
2011-10-14,20111014,2011,4,10,14,5,0,1
2011-10-15,20111015,2011,4,10,15,6,0,0
2011-10-16,20111016,2011,4,10,16,7,0,0
2011-10-17,20111017,2011,4,10,17,1,0,1
2011-10-18,20111018,2011,4,10,18,2,0,1
2011-10-19,20111019,2011,4,10,19,3,0,1
2011-10-20,20111020,2011,4,10,20,4,0,1
2011-10-21,20111021,2011,4,10,21,5,0,1
2011-10-22,20111022,2011,4,10,22,6,0,0
2011-10-23,20111023,2011,4,10,23,7,0,0
2011-10-24,20111024,2011,4,10,24,1,0,1
2011-10-25,20111025,2011,4,10,25,2,0,1
2011-10-26,20111026,2011,4,10,26,3,0,1
2011-10-27,20111027,2011,4,10,27,4,0,1
2011-10-28,20111028,2011,4,10,28,5,0,1
2011-10-29,20111029,2011,4,10,29,6,0,0
2011-10-30,20111030,2011,4,10,30,7,0,0
2011-10-31,20111031,2011,4,10,31,1,0,1
2011-11-01,20111101,2011,4,11,1,2,0,1
2011-11-02,20111102,2011,4,11,2,3,0,1
2011-11-03,20111103,2011,4,11,3,4,0,1
2011-11-04,20111104,2011,4,11,4,5,0,1
2011-11-05,20111105,2011,4,11,5,6,0,0
2011-11-06,20111106,2011,4,11,6,7,0,0
2011-11-07,20111107,2011,4,11,7,1,0,1
2011-11-08,20111108,2011,4,11,8,2,0,1
2011-11-09,20111109,2011,4,11,9,3,0,1
2011-11-10,20111110,2011,4,11,10,4,0,1
2011-11-11,20111111,2011,4,11,11,5,1,0
2011-11-12,20111112,2011,4,11,12,6,0,0
2011-11-13,20111113,2011,4,11,13,7,0,0
2011-11-14,20111114,2011,4,11,14,1,0,1
2011-11-15,20111115,2011,4,11,15,2,0,1
2011-11-16,20111116,2011,4,11,16,3,0,1
2011-11-17,20111117,2011,4,11,17,4,0,1
2011-11-18,20111118,2011,4,11,18,5,0,1
2011-11-19,20111119,2011,4,11,19,6,0,0
2011-11-20,20111120,2011,4,11,20,7,0,0
2011-11-21,20111121,2011,4,11,21,1,0,1
2011-11-22,20111122,2011,4,11,22,2,0,1
2011-11-23,20111123,2011,4,11,23,3,0,1
2011-11-24,20111124,2011,4,11,24,4,1,0
2011-11-25,20111125,2011,4,11,25,5,0,1
2011-11-26,20111126,2011,4,11,26,6,0,0
2011-11-27,20111127,2011,4,11,27,7,0,0
2011-11-28,20111128,2011,4,11,28,1,0,1
2011-11-29,20111129,2011,4,11,29,2,0,1
2011-11-30,20111130,2011,4,11,30,3,0,1
2011-12-01,20111201,2011,4,12,1,4,0,1
2011-12-02,20111202,2011,4,12,2,5,0,1
2011-12-03,20111203,2011,4,12,3,6,0,0
2011-12-04,20111204,2011,4,12,4,7,0,0
2011-12-05,20111205,2011,4,12,5,1,0,1
2011-12-06,20111206,2011,4,12,6,2,0,1
2011-12-07,20111207,2011,4,12,7,3,0,1
2011-12-08,20111208,2011,4,12,8,4,0,1
2011-12-09,20111209,2011,4,12,9,5,0,1
2011-12-10,20111210,2011,4,12,10,6,0,0
2011-12-11,20111211,2011,4,12,11,7,0,0
2011-12-12,20111212,2011,4,12,12,1,0,1
2011-12-13,20111213,2011,4,12,13,2,0,1
2011-12-14,20111214,2011,4,12,14,3,0,1
2011-12-15,20111215,2011,4,12,15,4,0,1
2011-12-16,20111216,2011,4,12,16,5,0,1
2011-12-17,20111217,2011,4,12,17,6,0,0
2011-12-18,20111218,2011,4,12,18,7,0,0
2011-12-19,20111219,2011,4,12,19,1,0,1
2011-12-20,20111220,2011,4,12,20,2,0,1
2011-12-21,20111221,2011,4,12,21,3,0,1
2011-12-22,20111222,2011,4,12,22,4,0,1
2011-12-23,20111223,2011,4,12,23,5,0,1
2011-12-24,20111224,2011,4,12,24,6,0,0
2011-12-25,20111225,2011,4,12,25,7,0,0
2011-12-26,20111226,2011,4,12,26,1,1,0
2011-12-27,20111227,2011,4,12,27,2,0,1
2011-12-28,20111228,2011,4,12,28,3,0,1
2011-12-29,20111229,2011,4,12,29,4,0,1
2011-12-30,20111230,2011,4,12,30,5,0,1
